x1,x2,x3,x4
1.667,1.667,1.292,1.875
0.250,0.250,-0.125,-1.875
0.667,0.667,-1.292,0.458
0.417,0.417,0.125,-0.458
0.417,-1.667,0.292,0.458
0.167,-0.250,0.042,-0.458
0.250,-0.667,-0.292,0.208
0.167,-0.417,-0.042,-0.208
-1.667,0.417,0.292,0.458
-0.250,0.167,0.042,-0.458
-0.667,0.250,-0.292,0.208
-0.417,0.167,-0.042,-0.208
-0.417,-0.417,0.125,0.208
-0.167,-0.167,0.042,-0.208
-0.250,-0.250,-0.125,0.125
-0.167,-0.167,-0.042,-0.125
