x1,x2,x3,x4
1,1,1,1
1,1,1,1
1,1,1,1
1,1,2,2
1,1,0,0
1,1,0,0
1,1,0,0
2,1,1,1
1,1,0,0
1,1,0,0
1,1,0,0
1,2,1,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,0,0
