x1,x2,x3,x4
0.234,0.234,0.234,0.234
0.260,0.260,0.177,0.177
0.260,0.260,0.177,0.177
-0.016,-0.016,0.234,0.234
0.266,0.224,-0.026,-0.026
0.276,0.193,-0.057,0.026
0.276,0.193,0.026,-0.057
0.307,0.016,0.057,0.057
0.224,0.266,-0.026,-0.026
0.193,0.276,-0.057,0.026
0.193,0.276,0.026,-0.057
0.016,0.307,0.057,0.057
0.375,0.375,0.000,0.000
0.375,0.375,0.000,0.000
0.375,0.375,0.000,0.000
0.375,0.375,0.000,0.000
